('Administrative & Mgmt', Salary: 190743.68, Pto: 0.00, Retirement: 38069.56, Benefits: 9311.05, Stock: 0.00, Signing: 0.00, Other: 12488.01)
('Health & Sanitation Inspection', Salary: 89606.33, Pto: 0.00, Retirement: 17647.49, Benefits: 10591.85, Stock: 0.00, Signing: 0.00, Other: 7140.38)
('Professional Engineering', Salary: 88151.68, Pto: 0.00, Retirement: 17336.81, Benefits: 9924.07, Stock: 0.00, Signing: 0.00, Other: 6705.03)
('Information Systems', Salary: 86529.61, Pto: 0.00, Retirement: 16835.79, Benefits: 9848.79, Stock: 0.00, Signing: 0.00, Other: 6651.77)
('Construction Inspection', Salary: 85284.81, Pto: 0.00, Retirement: 16038.03, Benefits: 10018.22, Stock: 0.00, Signing: 0.00, Other: 6720.88)
('Journeyman Trade', Salary: 85849.37, Pto: 0.00, Retirement: 14960.77, Benefits: 10357.99, Stock: 0.00, Signing: 0.00, Other: 6734.06)
('Public Health', Salary: 83059.72, Pto: 0.00, Retirement: 16895.33, Benefits: 9900.24, Stock: 0.00, Signing: 0.00, Other: 6378.41)
('Property Administration', Salary: 81637.99, Pto: 0.00, Retirement: 15680.02, Benefits: 9835.07, Stock: 0.00, Signing: 0.00, Other: 6432.56)
('Energy & Environment', Salary: 79111.48, Pto: 0.00, Retirement: 15711.31, Benefits: 10241.71, Stock: 0.00, Signing: 0.00, Other: 6248.66)
('Probation & Parole', Salary: 81359.18, Pto: 0.00, Retirement: 15890.21, Benefits: 11010.06, Stock: 0.00, Signing: 0.00, Other: 1993.66)
('Lab Pharmacy & Med Techs', Salary: 76339.14, Pto: 0.00, Retirement: 14101.19, Benefits: 9963.57, Stock: 0.00, Signing: 0.00, Other: 5769.86)
('Airport Operation', Salary: 74391.52, Pto: 0.00, Retirement: 13893.24, Benefits: 10803.69, Stock: 0.00, Signing: 0.00, Other: 5995.28)
('Administrative Secretarial', Salary: 72767.00, Pto: 0.00, Retirement: 13619.44, Benefits: 9457.03, Stock: 0.00, Signing: 0.00, Other: 5869.46)
('Skilled Labor', Salary: 71371.87, Pto: 0.00, Retirement: 12481.46, Benefits: 10353.73, Stock: 0.00, Signing: 0.00, Other: 5609.40)
('Street Transit', Salary: 68035.12, Pto: 0.00, Retirement: 14155.27, Benefits: 10345.14, Stock: 0.00, Signing: 0.00, Other: 5412.19)
('Nursing', Salary: 72900.12, Pto: 0.00, Retirement: 11929.49, Benefits: 6632.71, Stock: 0.00, Signing: 0.00, Other: 4958.70)
('SF Superior Court', Salary: 66765.36, Pto: 0.00, Retirement: 12858.89, Benefits: 9432.40, Stock: 0.00, Signing: 0.00, Other: 6805.05)
('Community Development', Salary: 65544.62, Pto: 0.00, Retirement: 13046.74, Benefits: 9660.90, Stock: 0.00, Signing: 0.00, Other: 5293.92)
('Appraisal & Taxation', Salary: 65197.13, Pto: 0.00, Retirement: 13002.90, Benefits: 10081.04, Stock: 0.00, Signing: 0.00, Other: 5249.07)
('Budget Admn & Stats Analysis', Salary: 65908.27, Pto: 0.00, Retirement: 13055.34, Benefits: 9270.43, Stock: 0.00, Signing: 0.00, Other: 5270.50)
('Human Services', Salary: 62921.76, Pto: 0.00, Retirement: 12272.87, Benefits: 9636.86, Stock: 0.00, Signing: 0.00, Other: 5074.30)
('Emergency Services', Salary: 60845.89, Pto: 0.00, Retirement: 12240.54, Benefits: 8275.36, Stock: 0.00, Signing: 0.00, Other: 4832.08)
('Purchasing & Storekeeping', Salary: 59772.09, Pto: 0.00, Retirement: 11237.96, Benefits: 10179.89, Stock: 0.00, Signing: 0.00, Other: 4782.17)
('Med Therapy & Auxiliary', Salary: 59756.04, Pto: 0.00, Retirement: 11506.91, Benefits: 9517.69, Stock: 0.00, Signing: 0.00, Other: 4762.84)
('Hospital Administration', Salary: 58441.27, Pto: 0.00, Retirement: 11179.99, Benefits: 10583.71, Stock: 0.00, Signing: 0.00, Other: 4705.75)
('Payroll Billing & Accounting', Salary: 57337.99, Pto: 0.00, Retirement: 11276.44, Benefits: 9587.65, Stock: 0.00, Signing: 0.00, Other: 4588.99)
('Agriculture & Horticulture', Salary: 55514.67, Pto: 0.00, Retirement: 10654.84, Benefits: 10185.83, Stock: 0.00, Signing: 0.00, Other: 4502.65)
('Pub Relations & Spec Assts', Salary: 55172.96, Pto: 0.00, Retirement: 10361.95, Benefits: 9130.09, Stock: 0.00, Signing: 0.00, Other: 4471.87)
('Revenue', Salary: 53692.67, Pto: 0.00, Retirement: 10682.14, Benefits: 9453.48, Stock: 0.00, Signing: 0.00, Other: 4360.56)
('Personnel', Salary: 52958.33, Pto: 0.00, Retirement: 10297.57, Benefits: 8088.28, Stock: 0.00, Signing: 0.00, Other: 4272.58)
('Protection & Apprehension', Salary: 52148.87, Pto: 0.00, Retirement: 8757.08, Benefits: 7982.94, Stock: 0.00, Signing: 0.00, Other: 4097.34)
('SF Redevelopment Agency', Salary: 50393.27, Pto: 0.00, Retirement: 10234.41, Benefits: 7799.70, Stock: 0.00, Signing: 0.00, Other: 4049.68)
('Housekeeping & Laundry', Salary: 48033.20, Pto: 0.00, Retirement: 9332.45, Benefits: 10328.48, Stock: 0.00, Signing: 0.00, Other: 3877.37)
('Semi-Skilled & General Labor', Salary: 48275.14, Pto: 0.00, Retirement: 8859.74, Benefits: 9211.69, Stock: 0.00, Signing: 0.00, Other: 3902.29)
('Museum & Cultural Affairs', Salary: 45943.89, Pto: 0.00, Retirement: 8795.58, Benefits: 8208.82, Stock: 0.00, Signing: 0.00, Other: 3694.72)
('Library', Salary: 45290.21, Pto: 0.00, Retirement: 9201.46, Benefits: 8241.89, Stock: 0.00, Signing: 0.00, Other: 3659.07)
('Clerical Secretarial & Steno', Salary: 44589.97, Pto: 0.00, Retirement: 8870.33, Benefits: 9048.26, Stock: 0.00, Signing: 0.00, Other: 3599.60)
('Computer Operatns & Repro Svcs', Salary: 42855.60, Pto: 0.00, Retirement: 7948.92, Benefits: 8234.24, Stock: 0.00, Signing: 0.00, Other: 3478.42)
('Dietary & Food', Salary: 40436.49, Pto: 0.00, Retirement: 7612.33, Benefits: 8297.63, Stock: 0.00, Signing: 0.00, Other: 3246.91)
('Park & Zoo', Salary: 35190.25, Pto: 0.00, Retirement: 6637.87, Benefits: 7704.67, Stock: 0.00, Signing: 0.00, Other: 2851.85)
('Sub-Professional Engineering', Salary: 29518.16, Pto: 0.00, Retirement: 4469.11, Benefits: 5248.44, Stock: 0.00, Signing: 0.00, Other: 2325.73)
('Recreation', Salary: 11351.14, Pto: 0.00, Retirement: 1323.87, Benefits: 2847.31, Stock: 0.00, Signing: 0.00, Other: 913.57)
('Public Service Aide', Salary: 9205.21, Pto: 0.00, Retirement: 870.96, Benefits: 3401.56, Stock: 0.00, Signing: 0.00, Other: 727.18)
